Organization legal name or 'doing business as' name,Group PAC ID,State,ACO PC ID 1,ACO Name 1,ACO PC ID 2,ACO Name 2,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Denominator Count,Star Value,Five Star Benchmark,Footnote,Collection Type,Reported on PC Live Site
ST LUKE'S WARREN PHYSICIAN GROUP PC,9739093675,NJ,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,88,169,,,,WI,N
ST LUKE'S WARREN PHYSICIAN GROUP PC,9739093675,NJ,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,84,251,4,93,,WI,Y
ST LUKE'S WARREN PHYSICIAN GROUP PC,9739093675,NJ,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,97,1136,,,,WI,N
ST LUKE'S WARREN PHYSICIAN GROUP PC,9739093675,NJ,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,66,247,3,93,,WI,Y
ST LUKE'S WARREN PHYSICIAN GROUP PC,9739093675,NJ,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,87,277,,,,WI,N
ST LUKE'S WARREN PHYSICIAN GROUP PC,9739093675,NJ,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,68,249,,,,WI,N
ST LUKE'S WARREN PHYSICIAN GROUP PC,9739093675,NJ,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,70,275,3,99,,WI,Y
CAROLINAS MEDICAL ALLIANCE INC,9739096769,SC,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,91,21335,4,100,,REG,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,A50190,eBrightHealth ACO,,,Y,,,,,,,,,,
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,67,366,4,87,,WI,Y
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,76,313,4,93,,WI,Y
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,67,250,4,84,,WI,Y
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,67,331,4,80,,WI,Y
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,93,187,,,,WI,N
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,70,265,3,93,,WI,Y
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,88,1369,,,,WI,N
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,27,304,2,93,,WI,Y
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,98,297,,,,WI,N
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,65,307,,,,WI,N
SANFORD BISMARCK,9739098575,ND,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,97,318,4,99,,WI,Y
KADLEC REGIONAL MEDICAL CENTER,9739098617,WA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,96,22484,4,100,,REG,Y
KADLEC REGIONAL MEDICAL CENTER,9739098617,WA,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,75,20352,4,100,,REG,Y
BLUE RIDGE MEDICAL MANAGEMENT CORPORATION,9739099441,TN,A79251,"AnewCare Collaborative, LLC",,,Y,,,,,,,,,,
RIDGECREST REGIONAL HOSPITAL,9739099896,CA,A27169,High Sierras-Northern Plains ACO,,,Y,,,,,,,,,,
ROHIT DANDIYA MD PA,9739100520,FL,A67373,"Palm Beach Accountable Care Organization, LLC",,,Y,,,,,,,,,,
TEXAS CARDIOTHORACIC SURGERY ASSOCIATES PA,9739102674,TX,A52780,Methodist Alliance for Patients and Physicians,,,Y,,,,,,,,,,
INTERNAL MEDICINE and PEDIATRICS WELLNESS CENTER,9739103920,FL,A69673,Citrus ACO,,,Y,,,,,,,,,,
PREMIER INTERNAL MEDICINE GROUP SC,9739104670,IL,A12621,CHS ACO,,,Y,,,,,,,,,,
"THE FOOT and ANKLE INSTITUTE OF SOUTH FLORIDA, INC",9739109588,FL,NG443,"Baroma Accountable Care, LLC.",,,Y,,,,,,,,,,
GOSHEN FAMILY PHYSICIANS,9739118308,IN,A73727,Indiana Lakes ACO,,,Y,,,,,,,,,,
"LUIS A CHANES, MD, INC",9739118829,CA,NG458,"MemorialCare Regional ACO, LLC",,,Y,,,,,,,,,,
CENTRASTATE MEDICAL CENTER INC.,9739125428,NJ,A70064,"Partners In Care ACO, Inc.",,,Y,,,,,,,,,,
"PMK MEDICAL GROUP, INC.",9739127614,CA,A25380,"Accountable Care Alliance of Ventura, LLC",,,Y,,,,,,,,,,
JOSHUA Z STEINER DO PA,9739127879,FL,A49262,"Broward Guardian, LLC",,,Y,,,,,,,,,,
"GELLER and HOROWITZ, PA",9739131517,FL,NG443,"Baroma Accountable Care, LLC.",,,Y,,,,,,,,,,
NEPHROLOGY CONSULTANTS PA,9739134669,MD,A20488,UM ACO,,,Y,,,,,,,,,,
"ATLANTA SOUTH NEPHROLOGY,PC",9739137795,GA,A67733,The Premier HealthCare Network LLC,,,Y,,,,,,,,,,
TRISTAN MEDICAL PC,9739141037,MA,NG442,"Steward Integrated Care Network, Inc.",,,Y,,,,,,,,,,
MEMORIAL HOSPITALIST INC,9739143561,FL,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,99,91,4,100,,REG,Y
TROY GASTROENTEROLOGY PC,9739143991,MI,A55185,POM ACO,,,Y,,,,,,,,,,
WESTCHESTER FAMILY MEDICAL PRACTICE PC,9739150392,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
PORTLAND WEST FAMILY PRACTICE LLC,9739152331,ME,A14573,MaineHealth Accountable Care Organization,,,Y,,,,,,,,,,
"THE RECOVERY PROJECT, LLC",9739154311,MI,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,98,303,,,,REG,N
"THE RECOVERY PROJECT, LLC",9739154311,MI,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,93,61,,,,REG,N
"THE RECOVERY PROJECT, LLC",9739154311,MI,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,95,60,,,,REG,N
"THE RECOVERY PROJECT, LLC",9739154311,MI,,,,,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,97,29,,,,REG,N
"THE RECOVERY PROJECT, LLC",9739154311,MI,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,310,,,,REG,N
"THE RECOVERY PROJECT, LLC",9739154311,MI,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,99,70,4,100,,REG,Y
GEORGE J CARLEY DO PC,9739154337,MI,A07334,"Connected Care, LLC",,,Y,,,,,,,,,,
INTERNAL MEDICINE SOUTHWEST,9739157934,CO,A73981,"Physician Health Partners, LLC",,,Y,,,,,,,,,,
"FAIRFIELD FAMILY PHYSICIANS, PA",9739159328,TX,A44499,Baylor St. Luke's Health Network ACO,,,Y,,,,,,,,,,
WEST HARTFORD PODIATRY ASSOCIATES,9739165580,CT,A83092,Saint Francis HealthCare Partners ACO Inc.,,,Y,,,,,,,,,,
ADAM S PLOTKIN MD PA,9739166208,FL,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,100,474,,,,REG,N
ADAM S PLOTKIN MD PA,9739166208,FL,,,,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,100,41,,,,REG,N
ADAM S PLOTKIN MD PA,9739166208,FL,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,475,,,,REG,N
ADAM S PLOTKIN MD PA,9739166208,FL,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,96,5019,4,100,,REG,Y
ADAM S PLOTKIN MD PA,9739166208,FL,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,64,,,,REG,N
ADAM S PLOTKIN MD PA,9739166208,FL,,,,,Y,PQRS_GRP_397_1,Melanoma Reporting,N,100,28,,,,REG,N
MT AIRY FAMILY PRACTICE,9739167438,PA,A74161,Delaware Valley ACO,,,Y,,,,,,,,,,
"WEST VALLEY URGENT CARE, L.L.C.",9739174202,AZ,A60499,Arizona Care Network,,,Y,,,,,,,,,,
CAROLINA ANESTHESIOLOGY ASSOCIATES PA,9739174301,SC,A99911,"Palmetto Health Quality Collaborative, LLC",,,Y,,,,,,,,,,
"MARIETTA RHEUMATOLOGY ASSOCIATES, P.C.",9739174392,GA,A67345,"WellStar Health Network, LLC",,,Y,,,,,,,,,,
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,45,84,3,87,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,21,104,1,93,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,91,93,5,84,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,,8,,80,1,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,,11,,,1,WI,N
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,56,124,3,93,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,64,347,,,,WI,N
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,6,108,1,93,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,,10,,,1,WI,N
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,45,58,,,,WI,N
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,30,103,2,99,,WI,Y
"CARDIOLOGY ASSOCIATES OF SCHENECTADY, P.C.",9739179797,NY,A60552,"Innovative Health Alliance of New York, LLC",,,Y,,,,,,,,,,
ACUTE CARE INTERNISTS PC,9739181405,MI,A55129,"Oakwood Accountable Care Organization, LLC",,,Y,,,,,,,,,,
"BEACON FAMILY MEDICINE, LLP",9739187956,MA,A21778,Lahey Clinical Performance ACO,,,Y,,,,,,,,,,
EYE VERMONT,9739190810,VT,A32930,"OneCare Vermont Accountable Care Organization, LLC",,,Y,,,,,,,,,,
"HARDIN PROFESSIONAL SERVICES, LLC",9739191628,KY,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,77,16788,3,100,,REG,Y
GULF COAST PRIMARY CARE PLC,9739192188,FL,A15929,"West Florida ACO, LLC",,,Y,,,,,,,,,,
MICHELLE E MURDAY MD PC,9739199522,UT,A24144,"Physicians Accountable Care Solutions, LLC",,,Y,,,,,,,,,,
"ALLIANCE PHYSICAL THERAPY, LLC",9739214891,TN,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,1319,,,,REG,N
"ALLIANCE PHYSICAL THERAPY, LLC",9739214891,TN,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,83,40,,,,REG,N
"ALLIANCE PHYSICAL THERAPY, LLC",9739214891,TN,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,85,40,,,,REG,N
"ALLIANCE PHYSICAL THERAPY, LLC",9739214891,TN,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,1372,,,,REG,N
"ROBERT PICCIANO, M.D. and MARIA VIEIRA PICCIANO, M.D., P.C.",9739233867,NJ,A71489,Barnabas Health Care Network,,,Y,,,,,,,,,,
MERCY CLINIC ST LOUIS CANCER and BREAST INSTITUTE LLC,9739240037,MO,A81076,"Mercy Health ACO, LLC",,,Y,,,,,,,,,,
"ROBERT M. COOPER, M.D,, LLC",9739245929,MD,A31015,Northern Maryland Collaborative Care LLC,,,Y,,,,,,,,,,
PROVIDENCE HEALTH and SERVICES - WA,9739249350,WA,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,38,109,2,100,,REG,Y
FREDERICK KIDNEY CARE ASSOCIATES LLC.,9739250952,MD,A91307,Frederick Integrated Healthcare Network LLC,,,Y,,,,,,,,,,
"DR. MAX E. MERCADO PRACTICE, LLC",9739251315,PA,A43641,National ACO,,,Y,,,,,,,,,,
MAIMONIDES MEDICAL CENTER - MMC DIVISION OF GERIATRIC MEDICINE FPP,9739256223,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
ALPHA MEDICAL ASSOCIATES PC,9739257775,MA,P037,"Partners Community Healthcare, Inc.",,,Y,,,,,,,,,,
DARRYL T GOLDBERG MD PC,9739259011,MI,A55185,POM ACO,,,Y,,,,,,,,,,
ORTHOPEDIC and SPORTS MEDICINE SPECIALISTS OF GREEN BAY SC,9739264714,MI,NG456,"Bellin Health DBA Physician Partners, Ltd. (PPL)",,,Y,,,,,,,,,,
AGHA MEDICAL INC,9739267055,IL,A33458,Medicare Value Partners,,,Y,,,,,,,,,,
FARIBORZ SHAMS DO INC,9739267709,CA,A54062,Prime Healthcare ACO,,,Y,,,,,,,,,,
READING FAMILY MEDICINE PC,9739271347,MA,P037,"Partners Community Healthcare, Inc.",,,Y,,,,,,,,,,
ELKIN EMERGENCY PHYSICIANS PLLC,9739272899,NC,,,,,Y,PQRS_GRP_116_1,Avoidance of Antibiotic Treatment in Adults With Acute Bronchitis,N,100,224,,,,REG,N
ELKIN EMERGENCY PHYSICIANS PLLC,9739272899,NC,,,,,Y,PQRS_GRP_326_1,Atrial Fibrillation and Atrial Flutter: Chronic Anticoagulation Therapy,N,100,39,,,,REG,N
ELKIN EMERGENCY PHYSICIANS PLLC,9739272899,NC,,,,,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,96,138,,,,REG,N
ELKIN EMERGENCY PHYSICIANS PLLC,9739272899,NC,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,65,141,,,,REG,N
ELKIN EMERGENCY PHYSICIANS PLLC,9739272899,NC,,,,,Y,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy - Avoidance of Inappropriate Use,N,100,1313,,,,REG,N
"PMA MEDICAL TREATMENT CENTERS, LLC",9739276395,LA,A74604,TP-ACO L.L.C.,,,Y,,,,,,,,,,
DEDHAM OPHTHALMIC CONSULTANTS AND SURGEONS PC,9739278177,MA,NG442,"Steward Integrated Care Network, Inc.",,,Y,,,,,,,,,,
PINNACLE INTERNAL MEDICINE PLLC,9739279753,TN,A98813,Cumberland Center for Healthcare Innovation,,,Y,,,,,,,,,,
"HYPERTENSION AND KIDNEY ASSOCIATES OF MIDDLE GEORGIA, LLC",9739280744,GA,A39327,"Accountable Care Coalition of Central Georgia, LLC.",,,Y,,,,,,,,,,
"CRITICAL CARE ASSOCIATES, LLC",9739281163,MD,A91307,Frederick Integrated Healthcare Network LLC,,,Y,,,,,,,,,,
LAKE HOWELL FAMILY MEDICINE ASSOCIATES,9739282047,FL,A34443,Central Florida Physicians Trust,,,Y,,,,,,,,,,
URGENT MEDICAL CLINIC INC,9739288937,TN,A20392,"Aledade Mississippi ACO, LLC",,,Y,,,,,,,,,,
PINNACLE HEALTH HOSPITALIST SERVICES LLC,9739313545,PA,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,41,3886,2,100,,REG,Y
ROBINSON HEALTH SYSTEM INC,9739318635,OH,A09762,University Hospitals Coordinated Care Organization,,,Y,,,,,,,,,,
CLARK REGIONAL PHYSICIAN PRACTICES LLC,9739337569,KY,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,3797,5,100,,REG,Y
CLARK REGIONAL PHYSICIAN PRACTICES LLC,9739337569,KY,,,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,100,451,5,100,,REG,Y
GRAND VEIN SPECIALISTS LLC,9739343203,IL,A28708,"Advocate Physician Partners Accountable Care, Inc.",,,Y,,,,,,,,,,
DIMYAN BALIKCIOGLU MD PC,9739349150,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
MONTICELLO MEDICAL CENTER,9739354754,IN,A88553,"Franciscan ACO, Inc.",,,Y,,,,,,,,,,
MEDEXPRESS URGENT CARE PC - MARYLAND,9739355074,MD,,,,,Y,PQRS_GRP_116_1,Avoidance of Antibiotic Treatment in Adults With Acute Bronchitis,N,23,56,,,,REG,N
MEDEXPRESS URGENT CARE PC - MARYLAND,9739355074,MD,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,90,3165,4,100,,REG,Y
MEDEXPRESS URGENT CARE PC - MARYLAND,9739355074,MD,,,,,Y,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy - Avoidance of Inappropriate Use,N,87,23,,,,REG,N
PREFERRED PROFESSIONAL MEDICAL CARE PC,9739359027,NY,A87823,"Beacon Health Partners, LLP",,,Y,,,,,,,,,,
FINDLEY FAMILY PRACTICE PA,9739362690,FL,A19579,Primary Care Alliance,,,Y,,,,,,,,,,
ASADULLA MOHAMMED MD PC,9739363581,MI,A76825,Reliance ACO LLC,,,Y,,,,,,,,,,
"COLON and RECTAL SURGICAL PRACTICE OF NASSAU, PLLC",9739364738,NY,A87823,"Beacon Health Partners, LLP",,,Y,,,,,,,,,,
"JOSEPHINE C. MCALLISTER, M.D., LLC",9739366691,NY,A78012,"Cayuga Area Preferred, Inc.",,,Y,,,,,,,,,,
"CENTRAL GEORGIA GASTROENTEROLOGY, LLC",9739367459,GA,A89091,"Georgia Physicians for Accountable Care, LLC",,,Y,,,,,,,,,,
UNIVERSITY OF UTAH COMMUNITY PHYSICIANS GROUP,9739403569,UT,,,,,Y,PQRS_GRP_400_1,Hepatitis C: One-Time Screening for Hepatitis C Virus (HCV) for Patients at Risk,N,47,20091,,,,REG,N
PETERS DERMATOLOGY CENTER,9739487208,OR,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,100,57,,,,REG,N
PETERS DERMATOLOGY CENTER,9739487208,OR,,,,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,100,20,,,,REG,N
PETERS DERMATOLOGY CENTER,9739487208,OR,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,59,,,,REG,N
PETERS DERMATOLOGY CENTER,9739487208,OR,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,82,613,3,100,,REG,Y
PETERS DERMATOLOGY CENTER,9739487208,OR,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,0,566,5,0,,REG,Y
PETERS DERMATOLOGY CENTER,9739487208,OR,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,58,,,,REG,N
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,89,245,5,87,,WI,Y
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,67,270,3,93,,WI,Y
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,42,250,3,84,,WI,Y
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,13,253,1,80,,WI,Y
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,84,93,,,,WI,N
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,71,249,3,93,,WI,Y
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,84,1256,,,,WI,N
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,30,266,2,93,,WI,Y
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,91,128,,,,WI,N
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,55,252,,,,WI,N
UNIVERSITY OF MINNESOTA PHYSICIANS,9830001189,MN,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,15,271,1,99,,WI,Y
SOUTHERN MONO HEALTHCARE DISTRICT,9830002401,CA,A27169,High Sierras-Northern Plains ACO,,,Y,,,,,,,,,,
GENESIS ELDERCARE PHYSICIAN SERVICES LLC,9830002534,VA,A02551,"Genesis Healthcare ACO, LLC",,,Y,,,,,,,,,,
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,87,232,5,87,,WI,Y
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,93,262,5,93,,WI,Y
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,84,252,5,84,,WI,Y
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,78,253,4,80,,WI,Y
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,92,167,,,,WI,N
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,64,251,3,93,,WI,Y
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,79,1379,,,,WI,N
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,81,248,4,93,,WI,Y
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,97,250,,,,WI,N
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,71,263,,,,WI,N
VIRGINIA MASON MEDICAL CENTER,9830002617,WA,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,65,247,3,99,,WI,Y
PREMIER MEDICAL ASSOCIATES PC,9830003235,PA,A24144,"Physicians Accountable Care Solutions, LLC",,,Y,,,,,,,,,,
ONCOLOGY HEMATOLOGY ASSOCIATION INC,9830003300,PA,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,63,24041,,,,REG,N
ONCOLOGY HEMATOLOGY ASSOCIATION INC,9830003300,PA,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,88,86,,,,REG,N
ONCOLOGY HEMATOLOGY ASSOCIATION INC,9830003300,PA,,,,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,92,211,,,,REG,N
ONCOLOGY HEMATOLOGY ASSOCIATION INC,9830003300,PA,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,92,103,,,,REG,N
ONCOLOGY HEMATOLOGY ASSOCIATION INC,9830003300,PA,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,94,7912,4,100,,REG,Y
ONCOLOGY HEMATOLOGY ASSOCIATION INC,9830003300,PA,,,,,Y,PQRS_GRP_71_1,Breast Cancer: Hormonal Therapy for Stage IC - IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer,N,85,175,,,,REG,N
UNIVERSITY PHYSICIAN ASSOCIATES OF NEW JERSEY INC,9830003417,NJ,,,,,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,100,477,,,,REG,N
UNITY FAMILY HEALTHCARE,9830003516,MN,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,,18,,87,1,WI,Y
UNITY FAMILY HEALTHCARE,9830003516,MN,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,,7,,93,1,WI,Y
UNITY FAMILY HEALTHCARE,9830003516,MN,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,,9,,84,1,WI,Y
